Country,Country Code,WJP Rule of Law Index: Overall Score
Afghanistan,AFG,0.36
Albania,ALB,0.50
Algeria,DZA,0.49
Angola,AGO,0.43
Antigua and Barbuda,ATG,0.63
Argentina,ARG,0.58
Australia,AUS,0.80
Austria,AUT,0.82
The Bahamas,BHS,0.61
Bangladesh,BGD,0.41
Barbados,BRB,0.65
Belarus,BLR,0.51
Belgium,BEL,0.79
Belize,BLZ,0.48
Benin,BEN,0.50
Bolivia,BOL,0.38
Bosnia and Herzegovina,BIH,0.52
Botswana,BWA,0.60
Brazil,BRA,0.52
Bulgaria,BGR,0.55
Burkina Faso,BFA,0.51
Cambodia,KHM,0.33
Cameroon,CMR,0.36
Canada,CAN,0.81
Chile,CHL,0.67
China,CHN,0.48
Colombia,COL,0.50
"Congo, Dem. Rep.",COD,0.34
Costa Rica,CRI,0.68
Cote d'Ivoire,CIV,0.46
Croatia,HRV,0.61
Czech Republic,CZE,0.73
Denmark,DNK,0.90
Dominica,DMA,0.58
Dominican Republic,DOM,0.48
Ecuador,ECU,0.49
Egypt,EGY,0.36
El Salvador,SLV,0.49
Estonia,EST,0.81
Ethiopia,ETH,0.41
Finland,FIN,0.87
France,FRA,0.73
The Gambia,GMB,0.50
Georgia,GEO,0.60
Germany,DEU,0.84
Ghana,GHA,0.57
Greece,GRC,0.61
Grenada,GRD,0.59
Guatemala,GTM,0.45
Guinea,GIN,0.42
Guyana,GUY,0.50
Honduras,HND,0.40
"Hong Kong SAR, China",HKG,0.76
Hungary,HUN,0.53
India,IND,0.51
Indonesia,IDN,0.53
Iran,IRN,0.43
Italy,ITA,0.66
Jamaica,JAM,0.57
Japan,JPN,0.78
Jordan,JOR,0.57
Kazakhstan,KAZ,0.52
Kenya,KEN,0.45
Kosovo,XKX,0.54
Kyrgyz Republic,KGZ,0.48
Lebanon,LBN,0.45
Liberia,LBR,0.45
Madagascar,MDG,0.44
Malawi,MWI,0.52
Malaysia,MYS,0.58
Mali,MLI,0.44
Mauritania,MRT,0.36
Mauritius,MUS,0.61
Mexico,MEX,0.44
Moldova,MDA,0.50
Mongolia,MNG,0.53
Morocco,MAR,0.50
Mozambique,MOZ,0.41
Myanmar,MMR,0.42
Namibia,NAM,0.63
Nepal,NPL,0.53
Netherlands,NLD,0.84
New Zealand,NZL,0.83
Nicaragua,NIC,0.39
Niger,NER,0.45
Nigeria,NGA,0.43
North Macedonia,MKD,0.53
Norway,NOR,0.89
Pakistan,PAK,0.39
Panama,PAN,0.52
Peru,PER,0.50
Philippines,PHL,0.47
Poland,POL,0.66
Portugal,PRT,0.70
Republic of Korea,KOR,0.73
Romania,ROU,0.63
Russian Federation,RUS,0.47
Rwanda,RWA,0.62
Senegal,SEN,0.55
Serbia,SRB,0.50
Sierra Leone,SLE,0.45
Singapore,SGP,0.79
Slovenia,SVN,0.69
South Africa,ZAF,0.59
Spain,ESP,0.73
Sri Lanka,LKA,0.52
St. Kitts and Nevis,KNA,0.63
St. Lucia,LCA,0.62
St. Vincent and the Grenadines,VCT,0.64
Suriname,SUR,0.50
Sweden,SWE,0.86
Tanzania,TZA,0.47
Thailand,THA,0.51
Togo,TGO,0.45
Trinidad and Tobago,TTO,0.54
Tunisia,TUN,0.54
Turkey,TUR,0.43
Uganda,UGA,0.40
Ukraine,UKR,0.51
United Arab Emirates,ARE,0.65
United Kingdom,GBR,0.79
United States,USA,0.72
Uruguay,URY,0.71
Uzbekistan,UZB,0.47
"Venezuela, RB",VEN,0.27
Vietnam,VNM,0.49
Zambia,ZMB,0.45
Zimbabwe,ZWE,0.39