Country	Subject Descriptor	Units	Scale	Country/Series-specific Notes	2017	2018	2019	2020	2021	2022	2023	2024	Estimates Start After
Afghanistan	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	20.235	19.630	18.734	18.861	19.998	21.540	23.237	25.190	2018
Albania	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	13.059	15.059	15.418	16.753	18.117	19.640	21.131	22.757	2018
Algeria	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	167.390	173.757	172.781	178.637	181.569	185.733	188.434	178.174	2018
Angola	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	122.124	105.902	91.527	88.983	92.596	97.244	103.261	108.988	2018
Antigua and Barbuda	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	1.468	1.611	1.688	1.779	1.861	1.937	2.016	2.098	2017
Argentina	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	642.928	519.487	445.469	443.249	481.841	518.662	557.182	579.623	2018
Armenia	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	11.527	12.433	13.444	14.132	15.025	15.975	16.937	17.953	2018
Aruba	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	2.679	2.822	2.903	2.971	3.068	3.169	3.274	3.384	2017
Australia	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	1,386.772	1,420.045	1,376.255	1,375.448	1,440.463	1,513.750	1,591.776	1,670.168	2018
Austria	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	417.721	456.166	447.718	462.572	483.398	503.707	525.314	548.227	2018
Azerbaijan	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	41.375	46.940	47.171	48.038	49.404	51.518	54.154	57.128	2018
The Bahamas	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	12.150	12.425	12.664	12.815	13.314	13.785	14.266	14.772	2018
Bahrain	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	35.433	37.746	38.184	39.309	40.764	42.399	44.279	46.399	2018
Bangladesh	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	262.077	288.424	317.465	347.991	380.860	416.842	456.217	499.311	2018
Barbados	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	4.978	5.087	5.189	5.322	5.529	5.762	6.006	6.259	2018
Belarus	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	54.723	59.643	62.572	63.582	64.004	65.209	66.486	67.354	2018
Belgium	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	495.953	532.268	517.609	529.554	547.870	566.382	586.031	608.113	2018
Belize	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	1.863	1.925	2.001	2.076	2.155	2.235	2.319	2.358	2018
Benin	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	12.697	14.269	14.374	15.478	17.054	18.732	20.546	22.561	2018
Bhutan	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	2.362	2.582	2.842	2.981	3.246	3.509	3.816	4.132	2018
Bolivia	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	37.782	40.581	42.401	45.253	48.655	52.567	56.899	61.954	2017
Bosnia and Herzegovina	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	18.081	20.162	20.106	21.023	22.077	23.214	24.456	25.882	2018
Botswana	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	17.383	18.615	18.690	19.660	20.857	21.575	22.335	23.111	2018
Brazil	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	2,052.807	1,867.818	1,847.020	1,893.010	1,987.816	2,084.295	2,188.892	2,296.031	2018
Brunei Darussalam	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	12.128	13.568	12.455	12.812	13.096	13.511	13.903	14.328	2018
Bulgaria	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	58.342	65.197	66.250	70.126	74.895	79.665	84.587	89.964	2018
Burkina Faso	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	12.356	14.138	14.593	15.847	17.267	18.797	20.451	22.279	2018
Burundi	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	3.396	3.436	3.573	3.714	3.862	4.078	4.349	4.640	2015
Cabo Verde	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	1.773	1.979	2.013	2.156	2.317	2.494	2.683	2.890	2018
Cambodia	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	22.189	24.444	26.730	28.977	31.406	34.077	37.002	40.153	2018
Cameroon	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	34.997	38.712	38.632	40.621	43.500	46.717	50.302	54.324	2017
Canada	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	1,649.934	1,712.479	1,730.914	1,812.460	1,910.944	2,013.453	2,122.741	2,238.465	2018
Central African Republic	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	2.071	2.280	2.321	2.493	2.709	2.940	3.184	3.450	2017
Chad	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	10.079	11.051	11.026	11.937	13.008	14.203	15.118	16.257	2017
Chile	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	277.674	298.180	294.237	308.505	327.038	345.767	365.092	385.112	2018
China	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	12,062.285	13,368.073	14,140.163	15,269.942	16,579.105	17,952.100	19,407.737	20,978.968	2018
Colombia	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	311.796	330.974	327.895	343.177	362.517	382.799	404.416	427.464	2018
Comoros	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	1.081	1.184	1.179	1.250	1.331	1.413	1.500	1.594	2016
Democratic Republic of the Congo	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	37.615	47.099	48.994	51.578	54.093	57.142	60.665	64.112	2018
Republic of Congo	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	8.932	11.664	11.576	11.540	11.475	11.218	11.290	11.598	2017
Costa Rica	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	58.654	60.464	61.021	65.179	68.636	72.265	76.121	80.280	2018
Côte d'Ivoire	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	38.134	43.048	44.439	48.354	53.095	58.055	62.905	68.132	2016
Croatia	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	55.201	60.805	60.702	63.172	66.508	68.711	72.215	75.838	2018
Cyprus	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	22.189	24.493	24.280	25.360	26.894	28.442	29.986	31.698	2018
Czech Republic	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	215.914	245.226	246.953	261.732	276.106	290.539	305.392	321.621	2018
Denmark	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	329.866	352.058	347.176	360.506	376.572	393.851	412.523	432.303	2018
Djibouti	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	2.767	2.923	3.166	3.423	3.701	4.002	4.327	4.678	2018
Dominica	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	0.524	0.533	0.593	0.633	0.672	0.710	0.739	0.765	2017
Dominican Republic	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	80.082	85.630	89.475	96.291	103.627	111.192	119.329	127.934	2018
Ecuador	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	104.296	108.398	107.914	109.444	112.682	117.083	121.318	125.598	2018
Egypt	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	236.528	249.559	302.256	353.003	376.542	397.346	419.833	453.726	2018
El Salvador	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	24.928	26.057	26.871	27.918	29.026	30.157	31.452	32.773	2018
Equatorial Guinea	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	12.287	13.734	12.142	11.635	11.327	11.096	11.129	11.226	2017
Eritrea	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	1.919	2.007	2.110	2.193	2.327	2.543	2.717	2.904	2018
Estonia	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	26.850	30.761	31.038	32.742	34.950	37.178	39.452	41.921	2018
Eswatini	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	4.452	4.711	4.657	4.784	4.924	5.137	5.376	5.624	2017
Ethiopia	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	75.745	80.289	91.166	103.607	114.681	125.255	135.361	146.181	2018
Fiji	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	5.373	5.524	5.708	6.062	6.450	6.862	7.308	7.776	2018
Finland	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	252.867	274.210	269.654	280.709	292.810	305.243	317.532	330.940	2018
France	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	2,591.775	2,780.152	2,707.074	2,771.622	2,876.227	2,983.803	3,093.657	3,214.610	2018
Gabon	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	14.924	16.875	16.877	17.623	18.563	19.660	20.893	22.438	2018
The Gambia	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	1.498	1.625	1.773	1.925	2.060	2.206	2.346	2.486	2018
Georgia	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	15.080	16.209	15.925	17.007	18.662	20.415	22.075	23.843	2018
Germany	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	3,664.511	3,951.340	3,863.344	3,982.235	4,158.656	4,322.593	4,491.375	4,675.325	2018
Ghana	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	58.978	65.518	67.077	69.757	74.633	79.335	84.696	90.483	2018
Greece	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	203.493	218.230	214.012	222.785	231.755	240.408	248.406	257.239	2018
Grenada	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	1.126	1.185	1.238	1.295	1.356	1.428	1.505	1.582	2018
Guatemala	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	75.620	78.461	81.318	86.397	92.553	98.775	105.480	114.375	2018
Guinea	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	10.306	12.099	13.368	14.396	15.566	16.707	17.881	19.143	2018
Guinea-Bissau	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	1.350	1.429	1.397	1.507	1.627	1.760	1.907	2.070	2018
Guyana	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	3.606	3.899	4.121	8.065	8.674	10.689	14.003	15.454	2017
Haiti	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	8.409	9.658	8.819	8.709	9.072	9.445	9.822	10.214	2018
Honduras	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	23.101	23.803	24.449	25.314	26.356	27.561	28.875	30.304	2017
Hong Kong SAR	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	341.718	362.721	372.989	385.274	402.464	421.507	442.219	464.976	2018
Hungary	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	139.844	161.182	170.407	180.498	192.239	201.487	211.566	222.130	2018
Iceland	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	24.457	25.965	23.918	24.237	24.744	25.268	26.115	27.123	2018
India	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	2,652.245	2,718.732	2,935.570	3,202.183	3,509.654	3,847.967	4,223.843	4,631.761	2018
Indonesia	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	1,015.292	1,022.454	1,111.713	1,204.830	1,297.175	1,390.183	1,489.693	1,596.011	2018
Islamic Republic of Iran	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	430.709	446.105	458.500	463.077	476.369	496.411	525.422	573.541	2018
Iraq	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	195.473	224.228	224.462	232.745	242.586	254.801	268.191	283.309	2017
Ireland	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	335.211	382.754	384.940	402.050	424.247	447.754	471.666	497.730	2018
Israel	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	353.253	370.588	387.717	410.501	433.165	457.448	483.878	511.646	2018
Italy	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	1,950.703	2,075.856	1,988.636	2,013.670	2,070.106	2,125.928	2,182.541	2,246.020	2018
Jamaica	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	14.773	15.461	15.702	16.474	17.082	17.813	18.619	19.503	2018
Japan	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	4,859.788	4,971.767	5,154.475	5,413.054	5,592.333	5,796.033	6,019.234	6,259.581	2018
Jordan	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	40.766	42.291	44.172	46.363	48.758	51.376	54.240	57.264	2018
Kazakhstan	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	162.887	172.941	170.326	182.623	196.871	213.339	236.572	258.459	2018
Kenya	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	78.689	87.928	98.607	109.128	119.545	131.369	144.686	158.835	2018
Kiribati	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	0.186	0.189	0.184	0.192	0.201	0.210	0.220	0.230	2017
Korea	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	1,623.901	1,720.489	1,629.532	1,626.553	1,702.137	1,789.961	1,884.063	1,988.109	2018
Kosovo	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	7.243	7.947	7.996	8.402	8.972	9.585	10.228	10.947	2018
Kuwait	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	119.533	141.646	137.591	139.570	143.423	148.617	155.261	163.211	2017
Kyrgyz Republic	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	7.703	8.093	8.261	8.715	9.218	9.822	10.344	10.893	2018
Lao P.D.R.	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	17.069	18.120	19.127	21.211	23.084	25.107	27.299	29.672	2018
Latvia	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	30.528	34.882	35.045	36.771	39.107	41.456	43.838	46.439	2018
Lebanon	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	53.394	56.372	58.565	60.455	63.139	66.120	69.608	73.008	2017
