ISO-alpha3 code,Dummy
AFG,81.63242699
ALA,11.41391654
ALB,26.88809038
DZA,89.8941279
ASM,94.03681687
AND,98.89091204
AGO,74.58114972
AIA,50.14156089
ATA,40.73651653
ATG,49.52098123
ARG,14.1961814
ARM,17.97997423
ABW,8.647438029
AUS,6.356130979
AUT,64.67964121
AZE,31.35601653
BHS,78.02646256
BHR,94.06985616
BGD,98.85050553
BRB,23.29926623
BLR,29.62170525
BEL,18.14899915
BLZ,83.48725507
BEN,97.46244656
BMU,53.11871939
BTN,17.78713487
BOL,33.90201278
BES,11.97283826
BIH,4.87154828
BWA,62.87553654
BVT,88.6567771
BRA,41.92259919
IOT,38.3957767
VGB,61.75743185
BRN,68.37741186
BGR,62.40784074
BFA,97.21407103
BDI,38.30567954
CPV,81.54687487
KHM,31.23321852
CMR,16.38288811
CAN,44.40363464
CYM,79.70992818
CAF,53.2309537
TCD,26.39244537
CHL,97.05337768
CHN,44.69738868
HKG,76.60010764
MAC,91.12016205
CXR,68.10514088
CCK,11.27867702
COL,5.754076241
COM,40.13123038
COG,8.996206996
COK,90.07734059
CRI,14.87122176
CIV,74.85812652
HRV,62.90712225
CUB,57.63482501
CUW,11.67560979
CYP,38.05422866
CZE,2.387596927
PRK,23.18376646
COD,31.9319165
DNK,36.40493583
DJI,31.77399241
DMA,64.99263318
DOM,41.7204559
ECU,97.29303631
EGY,10.61481572
SLV,53.06951503
GNQ,86.76549352
ERI,22.45327359
EST,86.84019609
SWZ,39.5635243
ETH,55.9218725
FLK,73.61437796
FRO,76.55583277
FJI,3.378101825
FIN,19.38213657
FRA,88.21514921
GUF,91.11142742
PYF,81.31128793
ATF,61.24828638
GAB,76.89436646
GMB,91.48817821
GEO,4.46379998
DEU,50.81938547
GHA,98.69267087
GIB,45.06940843
GRC,85.70655751
GRL,87.27821691
GRD,44.76781504
GLP,70.50293851
GUM,71.67503711
GTM,8.417278978
GGY,86.91291891
GIN,82.63337857
GNB,81.05867532
GUY,75.62639912
HTI,63.28072584
HMD,91.37699262
VAT,99.87926021
HND,34.57126864
HUN,80.45506869
ISL,65.93137163
IND,94.00308039
IDN,3.824282738
IRN,8.374067081
IRQ,48.85663403
IRL,29.30736973
IMN,62.16604579
ISR,32.59786964
ITA,93.33445415
JAM,60.72233128
JPN,89.35796926
JEY,7.026988887
JOR,1.305693173
KAZ,62.79587065
KEN,64.89340237
KIR,19.41562003
KWT,60.20701123
KGZ,26.47889979
LAO,44.56677027
LVA,41.88757126
LBN,11.67128084
LSO,39.50485
LBR,15.65724469
LBY,89.15072851
LIE,36.82623819
LTU,1.037868936
LUX,78.10546783
MDG,48.21925799
MWI,9.720290104
MYS,95.1898994
MDV,11.26890385
MLI,75.19104288
MLT,52.92393246
MHL,62.55762893
MTQ,63.67343554
MRT,76.99109024
MUS,27.49977823
MYT,64.10613313
MEX,46.63582999
FSM,8.980013992
MCO,3.303728075
MNG,27.52672453
MNE,21.71372257
MSR,22.93984945
MAR,84.97433103
MOZ,2.622400381
MMR,46.64685043
NAM,94.18787019
NRU,13.98690843
NPL,29.32497503
NLD,84.78523187
NCL,41.43226887
NZL,27.79358855
NIC,39.62383368
NER,88.9570619
NGA,28.47187676
NIU,33.33988376
NFK,72.98697941
MKD,42.31112389
MNP,2.955398782
NOR,44.142986
OMN,83.78084641
PAK,75.87551379
PLW,84.15385507
PAN,37.63650542
PNG,58.74614199
PRY,85.40656414
PER,59.06329725
PHL,12.63089413
PCN,42.76271937
POL,38.55880544
PRT,84.14304858
PRI,65.50831017
QAT,91.93734072
KOR,97.48893957
MDA,18.60810403
REU,58.16525843
ROU,34.47387933
ROM,34.47387933
RUS,81.713706
RWA,34.43247983
BLM,20.73582402
SHN,21.83636393
KNA,61.37367594
LCA,58.08371647
MAF,17.77285944
SPM,95.39102086
VCT,2.01194012
WSM,99.49692213
SMR,7.834064486
STP,77.01423682
SAU,81.54476195
SEN,56.36822137
SRB,78.00314553
SYC,70.89739211
SLE,34.44623414
SGP,19.83752471
SXM,4.558546997
SVK,34.84167733
SVN,94.21365982
SLB,6.570435017
SOM,99.90030679
ZAF,89.49002535
SGS,23.20722581
SSD,79.99085263
ESP,97.52915881
LKA,25.79388489
PSE,18.23250134
SDN,3.119635585
SUR,74.28055495
SJM,0.923955804
SWE,26.24915332
CHE,26.56179074
SYR,87.74349476
TJK,29.92646601
THA,47.92590985
TLS,44.12357198
TGO,32.64395513
TKL,57.72409568
TON,83.16765843
TTO,49.63243107
TUN,97.57703407
TUR,66.85052601
TKM,94.33678013
TCA,22.54950247
TUV,44.65711353
UGA,72.949841
UKR,82.5197081
ARE,41.56769655
GBR,80.92421703
TZA,58.48087572
UMI,85.15520513
USA,27.53693935
VIR,20.15414493
URY,91.03361826
UZB,63.40420993
VUT,45.53520865
VEN,15.72081604
VNM,50.98031512
WLF,1.152252744
ESH,0.84315779
YEM,70.88092688
ZMB,25.49567981
ZWE,83.8027288