Country,2015,2019
Afghanistan,489749,149762
Albania,52031,49160
Algeria,239473,249075
American Samoa,23513,23539
Andorra,42264,45102
Angola,632178,669479
Anguilla,5470,5679
Antigua and Barbuda,28083,29207
Argentina,2086302,2212879
Armenia,191199,190159
Aruba,36114,36532
Australia,6729730,7549270
Austria,1492374,1779857
Azerbaijan,264241,253887
Bahamas,59306,62962
Bahrain,704137,741161
Bangladesh,1422805,2185613
Barbados,34475,34807
Belarus,1082905,1069395
Belgium,1783488,1981919
Belize,54674,59998
Benin,366284,390112
Bermuda,19126,19336
Bhutan,51106,53254
Bolivia (Plurinational State of),142989,156114
"Bonaire, Sint Eustatius and Saba",13002,15484
Bosnia and Herzegovina,38574,35735
Botswana,103268,110596
Brazil,716568,807006
British Virgin Islands,19132,20778
Brunei Darussalam,102733,110641
Bulgaria,123803,168516
Burkina Faso,704676,718338
Burundi,289810,321018
Cabo Verde,14924,15664
Cambodia,73963,78649
Cameroon,508346,505692
Canada,7428657,7960657
Cayman Islands,26177,28985
Central African Republic,81598,90649
Chad,466968,512230
Channel Islands,82307,83833
Chile,639724,939992
China,978046,1030871
"China, Hong Kong SAR",2838665,2942254
"China, Macao SAR",376066,399572
Colombia,139134,1142319
Comoros,12555,12504
Congo,390142,402142
Cook Islands,3477,3491
Costa Rica,411697,417768
Cote d'Ivoire,2467984,2549141
Croatia,561093,518083
Cuba,5312,4886
Curaçao,37611,40883
Cyprus,192020,191922
Czechia,416454,512705
Dem. People's Republic of Korea,48458,49393
Democratic Republic of the Congo,824492,963833
Denmark,595876,722878
Djibouti,112351,115341
Dominica,8093,8264
Dominican Republic,549289,567648
Ecuador,387513,381507
Egypt,353641,504053
El Salvador,42045,42617
Equatorial Guinea,209611,227617
Eritrea,15941,16101
Estonia,194664,190242
Eswatini,32352,32310
Ethiopia,1161642,1253083
Falkland Islands (Malvinas),1571,1902
Faroe Islands,5485,6454
Fiji,13751,14038
Finland,314856,383116
France,7874172,8334875
French Guiana,106108,117372
French Polynesia,30058,31205
Gabon,378686,411463
Gambia,192540,215406
Georgia,76685,79035
Germany,10220418,13132146
Ghana,414744,466780
Gibraltar,11065,11172
Greece,1242924,1211382
Greenland,5797,5690
Grenada,7057,7124
Guadeloupe,98507,100030
Guam,76089,79846
Guatemala,78352,80421
Guinea,126386,120642
Guinea-Bissau,22333,26916
Guyana,15384,15699
Haiti,18036,18756
Holy See,803,799
Honduras,38317,38933
Hungary,475508,512043
Iceland,39072,52404
India,5240960,5154737
Indonesia,338124,353135
Iran (Islamic Republic of),2726420,2682214
Iraq,359381,368062
Ireland,759256,833564
Isle of Man,42238,42864
Israel,2011727,1956346
Italy,5805328,6273722
Jamaica,23167,23468
Japan,2232189,2498891
Jordan,3112026,3346703
Kazakhstan,3546060,3705556
Kenya,1126886,1044854
Kiribati,2919,3022
Kuwait,2866136,3034845
Kyrgyzstan,204382,200260
Lao People's Democratic Republic,45538,48275
Latvia,265418,237266
Lebanon,1973204,1863873
Lesotho,6572,6928
Liberia,113779,94448
Libya,771146,818216
Liechtenstein,23799,25467
Lithuania,136021,117218
Luxembourg,248888,291723
Madagascar,32075,34934
Malawi,232803,247652
Malaysia,3280681,3430380
Maldives,64273,69249
Mali,420504,468230
Malta,52642,84949
Marshall Islands,3284,3296
Martinique,61731,61647
Mauritania,166552,172987
Mauritius,28585,28849
Mayotte,73992,74643
Mexico,1028803,1060707
Micronesia (Fed. States of),2756,2819
Monaco,25983,26511
Mongolia,19886,21128
Montenegro,71719,70967
Montserrat,1351,1375
Morocco,92424,98574
Mozambique,321794,334665
Myanmar,73309,75998
Namibia,101618,107561
Nauru,1890,2114
Nepal,509471,490802
Netherlands,1996318,2282791
New Caledonia,68881,72537
New Zealand,1039736,1068739
Nicaragua,40262,42172
Niger,252998,294161
Nigeria,1199115,1256408
Niue,588,588
North Macedonia,130730,131175
Northern Mariana Islands,21648,21815
Norway,746375,867765
Oman,1856226,2286226
Pakistan,3506520,3257978
Palau,4937,5066
Panama,184710,185072
Papua New Guinea,30940,31212
Paraguay,156462,160519
Peru,154774,782169
Philippines,211862,218530
Poland,619403,655985
Portugal,864814,888162
Puerto Rico,280494,266828
Qatar,1687640,2229688
Republic of Korea,1143087,1163655
Republic of Moldova,106374,104713
Réunion,127209,129153
Romania,281048,462552
Russian Federation,11643276,11640559
Rwanda,514647,539932
Saint Helena,377,433
Saint Kitts and Nevis,7443,7587
Saint Lucia,8673,8383
Saint Pierre and Miquelon,986,990
Saint Vincent and the Grenadines,4637,4692
Samoa,4252,4035
San Marino,5195,5507
Sao Tome and Principe,2394,2174
Saudi Arabia,10771366,13122338
Senegal,266496,275239
Serbia,807441,820312
Seychelles,12791,12926
Sierra Leone,58813,54332
Singapore,2543638,2155653
Sint Maarten (Dutch part),27295,28260
Slovakia,177624,187984
Slovenia,237616,253122
Solomon Islands,2585,2532
Somalia,40990,52131
South Africa,3816695,4224256
South Sudan,844122,865552
Spain,5891208,6104203
Sri Lanka,39706,40018
State of Palestine,255507,253735
Sudan,620523,1223092
Suriname,43127,46157
Sweden,1676264,2005210
Switzerland,2416394,2572029
Syrian Arab Republic,871174,867848
Tajikistan,275101,274071
Thailand,3486526,3635085
Timor-Leste,8520,8417
Togo,277384,279142
Tokelau,487,504
Tonga,3954,3752
Trinidad and Tobago,50021,59249
Tunisia,56532,57455
Turkey,4346197,5876829
Turkmenistan,196376,195127
Turks and Caicos Islands,22719,24534
Tuvalu,230,238
Uganda,851175,1734166
Ukraine,4915142,4964293
United Arab Emirates,7995126,8587256
United Kingdom,8411569,9552110
United Republic of Tanzania,384567,509166
United States of America,48178877,50661149
United States Virgin Islands,56721,56745
Uruguay,78799,81482
Uzbekistan,1170873,1168384
Vanuatu,3187,3245
Venezuela (Bolivarian Republic of),1404448,1375690
Viet Nam,72793,76104
Wallis and Futuna Islands,1052,1022
Western Sahara,5179,5384
Yemen,379882,385628
Zambia,132107,170249
Zimbabwe,400482,411257