Country,2015,2016,2017,2018,2019
Afghanistan,257554,59771,75927,72231,72228
Albania,104,138,89,131,128
Algeria,94182,94232,94243,94350,98604
American Samoa,,,,,
Andorra,,,,,
Angola,15555,15555,41109,39865,25802
Antigua and Barbuda,15,4,0,1,2
Argentina,3207,3293,3287,3468,3881
Armenia,19319,17886,17963,17970,17985
Aruba,2,1,0,0,0
Australia,36917,42188,48415,56933,76764
Austria,72216,93250,115197,128769,135955
Azerbaijan,1278,1193,1115,1131,1108
"Bahamas, The",8,13,8,15,12
Bahrain,247,271,255,263,255
Bangladesh,231958,276207,932209,906645,854782
Barbados,,,,,
Belarus,1809,1650,2145,2234,2734
Belgium,35314,42168,42128,42168,61677
Belize,35,0,0,28,28
Benin,530,809,1051,1174,1244
Bermuda,,,,,
Bhutan,,,,,
Bolivia,775,786,761,810,878
Bosnia and Herzegovina,6798,5271,5209,5229,5248
Botswana,2130,2093,2106,2047,1115
Brazil,8707,9689,10230,11327,32860
British Virgin Islands,,,,,
Brunei Darussalam,,,,,
Bulgaria,16557,17814,19141,19918,20451
Burkina Faso,34017,32552,24147,25122,25868
Burundi,53363,57469,62353,71507,78473
Cabo Verde,,,,,
Cambodia,76,66,61,0,0
Cameroon,342973,375415,337367,380329,406260
Canada,135888,97332,104748,114109,101760
Caribbean small states,197,156,319,919,2442
Cayman Islands,12,18,24,34,36
Central African Republic,7330,12115,10023,6655,7175
Chad,369540,391251,411460,451210,442672
Channel Islands,,,,,
Chile,1849,1737,1841,2033,2053
China,301052,317255,321699,321756,303381
Colombia,226,258,240,310,646
Comoros,,,,,
"Congo, Dem. Rep.",383095,451956,537074,529061,523734
"Congo, Rep.",44955,46457,48494,37494,25670
Costa Rica,3616,4180,4464,4547,6217
Cote d'Ivoire,1980,1399,1544,1810,2021
Croatia,522,304,448,787,916
Cuba,303,316,338,287,237
Curacao,48,54,74,102,47
Cyprus,7067,8484,9745,11014,12325
Czech Republic,3644,3644,3580,2186,2058
Denmark,27326,33507,35593,36631,37540
Djibouti,19365,17683,17548,18295,19641
Dominica,,,,,
Dominican Republic,615,592,579,170,171
Ecuador,121535,102848,92320,101564,104574
"Egypt, Arab Rep.",212500,213530,232617,246749,258401
El Salvador,48,45,30,48,52
Equatorial Guinea,,,,,
Eritrea,2549,2342,2392,2252,199
Estonia,168,322,380,325,334
Eswatini,696,728,765,879,945
Ethiopia,736086,791631,889397,903226,733125
Faroe Islands,,,,,
Fiji,12,12,7,4,13
Finland,12703,18401,20713,22295,23473
France,273126,304546,337143,368352,407923
French Polynesia,,,,,
Gabon,943,931,825,687,459
"Gambia, The",7854,7940,8034,4034,4308
Georgia,1979,2125,2069,1991,1360
Germany,316115,669482,970302,1063837,1146685
Ghana,17406,11865,12148,11899,11948
Gibraltar,,,,,
Greece,24838,46427,38948,61460,80468
Greenland,,,,,
Grenada,1,1,0,2,3
Guam,,,,,
Guatemala,226,300,360,390,416
Guinea,8839,5068,5151,4294,4965
Guinea-Bissau,8684,9263,11197,4850,1852
Guyana,11,11,7,23,17
Haiti,3,5,0,8,2
Honduras,30,16,17,27,76
"Hong Kong SAR, China",133,110,80,141,130
Hungary,4393,4748,5641,6040,5772
Iceland,179,179,321,573,916
India,201381,197851,197122,195891,195105
Indonesia,5957,7827,9777,10793,10295
"Iran, Islamic Rep.",979437,979435,979435,979435,979435
Iraq,277701,261888,277663,283022,273992
Ireland,6125,5731,6324,6041,7800
Isle of Man,,,,,
Israel,32946,32946,25637,18569,16121
Italy,118047,147370,167260,189243,207619
Jamaica,12,15,8,15,1
Japan,2474,2514,2189,1895,1465
Jordan,2808351,2860688,2896162,2950529,2967046
Kazakhstan,708,653,602,574,524
Kenya,553912,451099,431880,421248,438901
Kiribati,,,,,
"Korea, Dem. People’s Rep.",,,,,
"Korea, Rep.",1463,1807,2203,2903,3215
Kosovo,,,,,
Kuwait,741,939,608,673,692
Kyrgyz Republic,354,339,334,333,353
Lao PDR,,,,,
Latvia,208,349,638,670,672
Lebanon,1529223,1476633,1468137,1424592,1395952
Lesotho,31,45,50,57,147
Liberia,36505,18990,11109,9122,8238
Libya,9305,9310,9342,8794,4739
Liechtenstein,150,163,154,168,132
Lithuania,1093,1093,1557,1734,1826
Luxembourg,1332,2046,1995,2046,2572
"Macao SAR, China",,,,,
Madagascar,10,28,34,44,116
Malawi,9019,9392,8977,13782,14086
Malaysia,94166,92263,103792,121302,129095
Maldives,,,,,
Mali,15917,17512,17036,26539,26670
Malta,7075,7948,7949,8579,8911
Marshall Islands,,,,,
Mauritania,77394,74148,77400,83191,84909
Mauritius,,,,,
Mexico,2923,6202,8963,16549,28533
"Micronesia, Fed. Sts.",3,4,0,0,0
Moldova,446,432,371,418,423
Monaco,32,32,25,25,22
Mongolia,9,8,0,7,6
Montenegro,1771,974,789,729,662
Morocco,3908,4771,4678,5940,6656
Mozambique,5622,4671,4866,4907,4708
Myanmar,,,,,
Namibia,1737,1757,2177,2400,3188
Nauru,506,506,944,962,763
Nepal,32667,25249,21467,20808,19574
Netherlands,88536,101744,103818,101837,94430
New Caledonia,,,,,
New Zealand,1337,1421,1410,1564,2747
Nicaragua,330,331,322,326,327
Niger,124721,166093,165719,175418,180006
Nigeria,1395,1367,1900,34738,54166
North Macedonia,701,637,409,412,353
Northern Mariana Islands,,,,,
Norway,50389,59522,59160,57026,53888
Oman,245,317,308,308,307
Pakistan,1561162,1352560,1393132,1404019,1419606
Palau,,,,,
Panama,17322,17350,2372,2518,2557
Papua New Guinea,9510,9536,10018,10026,9707
Paraguay,172,204,195,266,1016
Peru,1488,1649,1758,2529,2879
Philippines,269,408,482,642,690
Poland,14065,11747,12190,12506,12673
Portugal,853,1194,1569,2136,2387
Puerto Rico,,,,,
Qatar,120,177,188,190,203
Romania,2598,2905,3876,4157,3882
Russian Federation,314507,228990,125986,77397,42433
Rwanda,144737,156065,170976,145360,145057
Samoa,,,,,
San Marino,,,,,
Sao Tome and Principe,,,,,
Saudi Arabia,125,140,148,266,320
Senegal,14392,14584,14646,14359,14469
Serbia,35332,36522,32195,30954,26433
Seychelles,,,,,
Sierra Leone,760,683,678,592,443
Singapore,,,,,
Sint Maarten (Dutch part),3,3,5,7,6
Slovak Republic,820,990,887,949,977
Slovenia,292,462,591,749,751
Solomon Islands,3,0,0,0,0
Somalia,8081,11574,14555,16741,17883
South Africa,121645,91043,88694,89285,89285
South Sudan,263016,262560,283400,291842,298313
Spain,6457,12989,17526,20457,57761
Sri Lanka,784,604,820,800,1045
St. Kitts and Nevis,,,,,
St. Lucia,1,2,0,2,2
St. Martin (French part),,,,,
St. Vincent and the Grenadines,,,,,
Sudan,309639,421466,906585,1078287,1055489
Suriname,1,1,29,43,52
Sweden,169520,230164,240899,248226,253794
Switzerland,73336,82681,92995,104037,110168
Syrian Arab Republic,581113,562823,569774,576621,583443
Tajikistan,1969,2729,2516,2657,3791
Tanzania,211845,281498,308528,278322,242171
Thailand,108261,106447,104585,102245,97571
Timor-Leste,,,,,
Togo,21953,12491,12420,12336,11968
Tonga,,,,,
Trinidad and Tobago,113,109,267,785,2321
Tunisia,665,649,701,1066,1746
Turkey,2541352,2869421,3480310,3681685,3579531
Turkmenistan,26,27,22,22,22
Turks and Caicos Islands,4,4,0,4,4
Tuvalu,,,,,
Uganda,477187,940835,1350495,1165653,1359464
Ukraine,3273,3302,3211,2620,2172
United Arab Emirates,663,895,874,1164,1247
United Kingdom,123067,118995,121766,126720,133094
United States,273202,272959,287065,313241,341711
Uruguay,301,312,304,391,516
Uzbekistan,107,27,20,14,14
Vanuatu,,,,,
"Venezuela, RB",173754,172053,122774,67289,67755
Vietnam,,,,,
Virgin Islands (U.S.),,,,,
West Bank and Gaza,2104001,2158274,2213963,2271102,2313555
"Yemen, Rep.",267173,269783,270898,264369,268511
Zambia,26447,29350,41266,49879,57521
Zimbabwe,6950,7426,7566,7797,8959